district_no,district_name,district_name_french,party_affiliation,party_affiliation_french,last_name,first_name,middle_initial,votes_for
48006,Calgary Forest Lawn,Calgary Forest Lawn,New Democratic Party,Nouveau Parti démocratique,Souraya,Abdou,,
48006,Calgary Forest Lawn,Calgary Forest Lawn,Liberal Party of Canada,Parti libéral du Canada,Stewart,Cam,,
48006,Calgary Forest Lawn,Calgary Forest Lawn,Democratic Advancement Party of Canada,Parti pour l'Avancement de la Démocratie au Canada,Veress,Max,,
48007,Calgary Heritage,Calgary Heritage,Green Party of Canada,Le Parti Vert du Canada,Christie,Kelly,,
48007,Calgary Heritage,Calgary Heritage,Independent,Indépendant,Duchastel de Montrouge,Nicolas,,
48007,Calgary Heritage,Calgary Heritage,Conservative Party of Canada,Parti conservateur du Canada,Harper,Stephen J.,,
48007,Calgary Heritage,Calgary Heritage,Independent,Indépendant,Heather,Larry R.,,
48007,Calgary Heritage,Calgary Heritage,New Democratic Party,Nouveau Parti démocratique,Masters Burgener,Matt,,
48007,Calgary Heritage,Calgary Heritage,Liberal Party of Canada,Parti libéral du Canada,Miles,Brendan,,
48007,Calgary Heritage,Calgary Heritage,Libertarian Party of Canada,Parti Libertarien du Canada,Paolasini,Steven,,
48007,Calgary Heritage,Calgary Heritage,Independent,Indépendant,Zepik,Korry,,
48008,Calgary Midnapore,Calgary Midnapore,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Askin,Peggy,,
48008,Calgary Midnapore,Calgary Midnapore,Liberal Party of Canada,Parti libéral du Canada,Brown,Haley,,
48008,Calgary Midnapore,Calgary Midnapore,Conservative Party of Canada,Parti conservateur du Canada,Kenney,Jason,,
48008,Calgary Midnapore,Calgary Midnapore,Green Party of Canada,Le Parti Vert du Canada,Wauters,Brennan,,
48008,Calgary Midnapore,Calgary Midnapore,New Democratic Party,Nouveau Parti démocratique,Weston,Laura,,
48009,Calgary Nose Hill,Calgary Nose Hill,Democratic Advancement Party of Canada,Parti pour l'Avancement de la Démocratie au Canada,Butt,Faizan,,
48009,Calgary Nose Hill,Calgary Nose Hill,Libertarian Party of Canada,Parti Libertarien du Canada,Gao,Edward,,
48009,Calgary Nose Hill,Calgary Nose Hill,New Democratic Party,Nouveau Parti démocratique,Kaufman,Bruce,,
48009,Calgary Nose Hill,Calgary Nose Hill,Liberal Party of Canada,Parti libéral du Canada,Prcic,Robert,,
48009,Calgary Nose Hill,Calgary Nose Hill,Conservative Party of Canada,Parti conservateur du Canada,Rempel,Michelle,,
48009,Calgary Nose Hill,Calgary Nose Hill,Green Party of Canada,Le Parti Vert du Canada,Scheer,Laurie,,
48010,Calgary Rocky Ridge,Calgary Rocky Ridge,Conservative Party of Canada,Parti conservateur du Canada,Kelly,Pat,,
48010,Calgary Rocky Ridge,Calgary Rocky Ridge,New Democratic Party,Nouveau Parti démocratique,Kot,Stephanie,,
48010,Calgary Rocky Ridge,Calgary Rocky Ridge,Liberal Party of Canada,Parti libéral du Canada,Naidoo,Nirmala,,
48010,Calgary Rocky Ridge,Calgary Rocky Ridge,Green Party of Canada,Le Parti Vert du Canada,Wright,Catriona,,
48011,Calgary Shepard,Calgary Shepard,New Democratic Party,Nouveau Parti démocratique,Allard,Dany,,
48011,Calgary Shepard,Calgary Shepard,Liberal Party of Canada,Parti libéral du Canada,James,Jerome,,
48011,Calgary Shepard,Calgary Shepard,Conservative Party of Canada,Parti conservateur du Canada,Kmiec,Tom,,
48011,Calgary Shepard,Calgary Shepard,Green Party of Canada,Le Parti Vert du Canada,MacKenzie,Graham,,
48012,Calgary Signal Hill,Calgary Signal Hill,New Democratic Party,Nouveau Parti démocratique,Ahmed,Khalis,,
48012,Calgary Signal Hill,Calgary Signal Hill,Liberal Party of Canada,Parti libéral du Canada,Cundal,Kerry,,
48012,Calgary Signal Hill,Calgary Signal Hill,Green Party of Canada,Le Parti Vert du Canada,Knorren,Taryn,,
48012,Calgary Signal Hill,Calgary Signal Hill,Conservative Party of Canada,Parti conservateur du Canada,Liepert,Ron,,
48012,Calgary Signal Hill,Calgary Signal Hill,Libertarian Party of Canada,Parti Libertarien du Canada,Moen,Tim,,
48012,Calgary Signal Hill,Calgary Signal Hill,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Rau,Jesse,,
48013,Calgary Skyview,Calgary Skyview,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Blanchard,Daniel,,
48013,Calgary Skyview,Calgary Skyview,Progressive Canadian Party,Parti Progressiste Canadien,Butt,Najeeb,,
48013,Calgary Skyview,Calgary Skyview,Democratic Advancement Party of Canada,Parti pour l'Avancement de la Démocratie au Canada,Garvey,Stephen,,
48013,Calgary Skyview,Calgary Skyview,Liberal Party of Canada,Parti libéral du Canada,Kang,Darshan Singh,,
48013,Calgary Skyview,Calgary Skyview,Green Party of Canada,Le Parti Vert du Canada,Reddy,Ed,,
48013,Calgary Skyview,Calgary Skyview,Conservative Party of Canada,Parti conservateur du Canada,Shory,Devinder,,
48013,Calgary Skyview,Calgary Skyview,New Democratic Party,Nouveau Parti démocratique,Singh,Sahajvir,,
48013,Calgary Skyview,Calgary Skyview,Independent,Indépendant,Young,Joseph,,
48014,Edmonton Centre,Edmonton-Centre,Liberal Party of Canada,Parti libéral du Canada,Boissonnault,Randy,,
48014,Edmonton Centre,Edmonton-Centre,Conservative Party of Canada,Parti conservateur du Canada,Cumming,James,,
48014,Edmonton Centre,Edmonton-Centre,New Democratic Party,Nouveau Parti démocratique,McGowan,Gil,,
48014,Edmonton Centre,Edmonton-Centre,Green Party of Canada,Le Parti Vert du Canada,Parker,David,,
48014,Edmonton Centre,Edmonton-Centre,Rhinoceros Party,Parti Rhinocéros,Stauffer,Steven,,
48014,Edmonton Centre,Edmonton-Centre,Independent,Indépendant,Yaki,Kat,,
48015,Edmonton Griesbach,Edmonton Griesbach,Conservative Party of Canada,Parti conservateur du Canada,Diotte,Kerry,,
48015,Edmonton Griesbach,Edmonton Griesbach,Liberal Party of Canada,Parti libéral du Canada,Gold,Brian,,
48015,Edmonton Griesbach,Edmonton Griesbach,Libertarian Party of Canada,Parti Libertarien du Canada,Goncharenko,Maryna,,
48015,Edmonton Griesbach,Edmonton Griesbach,New Democratic Party,Nouveau Parti démocratique,Irwin,Janis,,
48015,Edmonton Griesbach,Edmonton Griesbach,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Joyce,Mary,,
48015,Edmonton Griesbach,Edmonton Griesbach,Marijuana Party,Parti Marijuana,Northcott,Linda,,
48015,Edmonton Griesbach,Edmonton Griesbach,Rhinoceros Party,Parti Rhinocéros,Thompson,Bun Bun,,
48015,Edmonton Griesbach,Edmonton Griesbach,Green Party of Canada,Le Parti Vert du Canada,Workman,Heather,,
48016,Edmonton Manning,Edmonton Manning,Conservative Party of Canada,Parti conservateur du Canada,Aboultaif,Ziad,,
48016,Edmonton Manning,Edmonton Manning,Liberal Party of Canada,Parti libéral du Canada,Aujla,Sukhdev,,
48016,Edmonton Manning,Edmonton Manning,Independent,Indépendant,Deres,Mebreate,,
48016,Edmonton Manning,Edmonton Manning,New Democratic Party,Nouveau Parti démocratique,Paquette,Aaron,,
48016,Edmonton Manning,Edmonton Manning,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Vachon,André,,
48016,Edmonton Manning,Edmonton Manning,Green Party of Canada,Le Parti Vert du Canada,Vallee,Chris,,
48017,Edmonton Mill Woods,Edmonton Mill Woods,New Democratic Party,Nouveau Parti démocratique,Deol,Jasvir,,
48017,Edmonton Mill Woods,Edmonton Mill Woods,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Downing,Peter,,
48017,Edmonton Mill Woods,Edmonton Mill Woods,Green Party of Canada,Le Parti Vert du Canada,McLean,Ralph,,
48017,Edmonton Mill Woods,Edmonton Mill Woods,Libertarian Party of Canada,Parti Libertarien du Canada,Paley,Allen K.W.,,
48017,Edmonton Mill Woods,Edmonton Mill Woods,Communist Party of Canada,Parti communiste du Canada,Rankin,Naomi,,
48017,Edmonton Mill Woods,Edmonton Mill Woods,Liberal Party of Canada,Parti libéral du Canada,Sohi,Amarjeet,,
48017,Edmonton Mill Woods,Edmonton Mill Woods,Independent,Indépendant,Stubbs,Colin,,
48017,Edmonton Mill Woods,Edmonton Mill Woods,Conservative Party of Canada,Parti conservateur du Canada,Uppal,Tim,,
48018,Edmonton Riverbend,Edmonton Riverbend,Liberal Party of Canada,Parti libéral du Canada,Chaudary,Tariq,,
48018,Edmonton Riverbend,Edmonton Riverbend,New Democratic Party,Nouveau Parti démocratique,Fleck,Brian,,
48018,Edmonton Riverbend,Edmonton Riverbend,Conservative Party of Canada,Parti conservateur du Canada,Jeneroux,Matt,,
48018,Edmonton Riverbend,Edmonton Riverbend,Green Party of Canada,Le Parti Vert du Canada,Kennedy,Valerie,,
48018,Edmonton Riverbend,Edmonton Riverbend,Libertarian Party of Canada,Parti Libertarien du Canada,Lack,Steven,,
48019,Edmonton Strathcona,Edmonton Strathcona,Green Party of Canada,Le Parti Vert du Canada,Binnema,Jacob K.,,
48019,Edmonton Strathcona,Edmonton Strathcona,Pirate Party of Canada,Parti Pirate du Canada,Bromsgrove,Ryan,,
48019,Edmonton Strathcona,Edmonton Strathcona,New Democratic Party,Nouveau Parti démocratique,Duncan,Linda,,
48019,Edmonton Strathcona,Edmonton Strathcona,Rhinoceros Party,Parti Rhinocéros,Eckstrom,Donovan,,
48019,Edmonton Strathcona,Edmonton Strathcona,Independent,Indépendant,Jones,Chris,,
48019,Edmonton Strathcona,Edmonton Strathcona,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,MacDonald,Dougal,,
48019,Edmonton Strathcona,Edmonton Strathcona,Liberal Party of Canada,Parti libéral du Canada,Olszewski,Eleanor,,
48019,Edmonton Strathcona,Edmonton Strathcona,Independent,Indépendant,Schurman,Andrew,,
48019,Edmonton Strathcona,Edmonton Strathcona,Libertarian Party of Canada,Parti Libertarien du Canada,Stinson,Malcolm,,
48019,Edmonton Strathcona,Edmonton Strathcona,Conservative Party of Canada,Parti conservateur du Canada,Thom,Len,,
48020,Edmonton West,Edmonton-Ouest,Green Party of Canada,Le Parti Vert du Canada,Bryan,Pamela Leslie,,
48020,Edmonton West,Edmonton-Ouest,Libertarian Party of Canada,Parti Libertarien du Canada,Dussault,Alexander,,
48020,Edmonton West,Edmonton-Ouest,Liberal Party of Canada,Parti libéral du Canada,Leibovici,Karen,,
48020,Edmonton West,Edmonton-Ouest,New Democratic Party,Nouveau Parti démocratique,MacKenzie,Heather,,
48020,Edmonton West,Edmonton-Ouest,Conservative Party of Canada,Parti conservateur du Canada,McCauley,Kelly,,
48020,Edmonton West,Edmonton-Ouest,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Morton,Peggy,,
48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,Liberal Party of Canada,Parti libéral du Canada,Biollo,Jacqueline,,
48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,New Democratic Party,Nouveau Parti démocratique,Bitz,Fritz K.,,
48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,Green Party of Canada,Le Parti Vert du Canada,Hut,Joy-Ann,,
48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,Conservative Party of Canada,Parti conservateur du Canada,Lake,Mike,,
48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,Libertarian Party of Canada,Parti Libertarien du Canada,Whitlock,Brayden,,
48022,Foothills,Foothills,Conservative Party of Canada,Parti conservateur du Canada,Barlow,John,,
48022,Foothills,Foothills,Liberal Party of Canada,Parti libéral du Canada,MacPherson,Tanya,,
48022,Foothills,Foothills,Libertarian Party of Canada,Parti Libertarien du Canada,Morgan,Cory,,
48022,Foothills,Foothills,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Slingerland,Marc,,
48022,Foothills,Foothills,New Democratic Party,Nouveau Parti démocratique,Thompson,Alison,,
48022,Foothills,Foothills,Green Party of Canada,Le Parti Vert du Canada,Tittel,Romy S.,,
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,Libertarian Party of Canada,Parti Libertarien du Canada,Berry,Scott,,
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,Green Party of Canada,Le Parti Vert du Canada,Deheer,Brian,,
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,Liberal Party of Canada,Parti libéral du Canada,Harrietha,Kyle,,
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Janssen,Roelof,,
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,New Democratic Party,Nouveau Parti démocratique,Lepine,Melody,,
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,Conservative Party of Canada,Parti conservateur du Canada,Yurdiga,David,,
48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,Green Party of Canada,Le Parti Vert du Canada,Friesen,James David,,
48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,Liberal Party of Canada,Parti libéral du Canada,Johnston,Reagan,,
48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,New Democratic Party,Nouveau Parti démocratique,Mossagizi,Saba,,
48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,Libertarian Party of Canada,Parti Libertarien du Canada,Thompson,Dylan,,
48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,Conservative Party of Canada,Parti conservateur du Canada,Warkentin,Chris,,
48025,Lakeland,Lakeland,Libertarian Party of Canada,Parti Libertarien du Canada,McFadzean,Robert George,,
48025,Lakeland,Lakeland,Green Party of Canada,Le Parti Vert du Canada,Montgomery,Danielle,,
48025,Lakeland,Lakeland,Liberal Party of Canada,Parti libéral du Canada,Parenteau,Garry,,
48025,Lakeland,Lakeland,Conservative Party of Canada,Parti conservateur du Canada,Stubbs,Shannon,,
48025,Lakeland,Lakeland,New Democratic Party,Nouveau Parti démocratique,Zaraska,Duane,,
48026,Lethbridge,Lethbridge,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Capp,Geoffrey,,
48026,Lethbridge,Lethbridge,Conservative Party of Canada,Parti conservateur du Canada,Harder,Rachael,,
48026,Lethbridge,Lethbridge,Rhinoceros Party,Parti Rhinocéros,Krygier-Paine,Solly,,
48026,Lethbridge,Lethbridge,Green Party of Canada,Le Parti Vert du Canada,MacMillan,Kas,,
48026,Lethbridge,Lethbridge,New Democratic Party,Nouveau Parti démocratique,Meheden,Cheryl,,
48026,Lethbridge,Lethbridge,Liberal Party of Canada,Parti libéral du Canada,Pyne,Mike,,
48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,Liberal Party of Canada,Parti libéral du Canada,Allan,Glen,,
48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,Conservative Party of Canada,Parti conservateur du Canada,Hillyer,Jim,,
48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,Green Party of Canada,Le Parti Vert du Canada,Smith,Brent,,
48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,Independent,Indépendant,Turner,John Clayton,,
48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,New Democratic Party,Nouveau Parti démocratique,Weir,Erin,,
48028,Peace River--Westlock,Peace River--Westlock,New Democratic Party,Nouveau Parti démocratique,Alexis,Cameron,,
48028,Peace River--Westlock,Peace River--Westlock,Liberal Party of Canada,Parti libéral du Canada,Brown,Chris,,
48028,Peace River--Westlock,Peace River--Westlock,Green Party of Canada,Le Parti Vert du Canada,Levac,Sabrina Lee,,
48028,Peace River--Westlock,Peace River--Westlock,Libertarian Party of Canada,Parti Libertarien du Canada,Sergeew,Jeremy,,
48028,Peace River--Westlock,Peace River--Westlock,Conservative Party of Canada,Parti conservateur du Canada,Viersen,Arnold,,
48029,Red Deer--Mountain View,Red Deer--Mountain View,Conservative Party of Canada,Parti conservateur du Canada,Dreeshen,Earl,,
48029,Red Deer--Mountain View,Red Deer--Mountain View,New Democratic Party,Nouveau Parti démocratique,Harris,Paul,,
48029,Red Deer--Mountain View,Red Deer--Mountain View,Liberal Party of Canada,Parti libéral du Canada,Kastern,Chandra Lescia,,
48029,Red Deer--Mountain View,Red Deer--Mountain View,Pirate Party of Canada,Parti Pirate du Canada,Milne,Scott,,
48029,Red Deer--Mountain View,Red Deer--Mountain View,Green Party of Canada,Le Parti Vert du Canada,Oleny,Simon,,
48029,Red Deer--Mountain View,Red Deer--Mountain View,Libertarian Party of Canada,Parti Libertarien du Canada,Walper,James,,
48030,Red Deer--Lacombe,Red Deer--Lacombe,Conservative Party of Canada,Parti conservateur du Canada,Calkins,Blaine,,
48030,Red Deer--Lacombe,Red Deer--Lacombe,New Democratic Party,Nouveau Parti démocratique,Hart,Doug,,
48030,Red Deer--Lacombe,Red Deer--Lacombe,Green Party of Canada,Le Parti Vert du Canada,Kuzyk,Les,,
48030,Red Deer--Lacombe,Red Deer--Lacombe,Liberal Party of Canada,Parti libéral du Canada,Rock,Jeff,,
48031,St. Albert--Edmonton,St. Albert--Edmonton,Conservative Party of Canada,Parti conservateur du Canada,Cooper,Michael,,
48031,St. Albert--Edmonton,St. Albert--Edmonton,Liberal Party of Canada,Parti libéral du Canada,Ghettuba,Beatrice,,
48031,St. Albert--Edmonton,St. Albert--Edmonton,New Democratic Party,Nouveau Parti démocratique,Malayko,Darlene,,
48031,St. Albert--Edmonton,St. Albert--Edmonton,Green Party of Canada,Le Parti Vert du Canada,Oldham,Andrea,,
48031,St. Albert--Edmonton,St. Albert--Edmonton,Independent,Indépendant,Rathgeber,Brent,,
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,Libertarian Party of Canada,Parti Libertarien du Canada,Burry,Stephen C.,,
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,New Democratic Party,Nouveau Parti démocratique,Cave,Joanne,,
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,Independent,Indépendant,Ford,James,,
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,Liberal Party of Canada,Parti libéral du Canada,Frank,Rod,,
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,Conservative Party of Canada,Parti conservateur du Canada,Genuis,Garnett,,
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,Green Party of Canada,Le Parti Vert du Canada,Harrop,Brandie,,
48033,Sturgeon River--Parkland,Sturgeon River--Parkland,Conservative Party of Canada,Parti conservateur du Canada,Ambrose,Rona,,
48033,Sturgeon River--Parkland,Sturgeon River--Parkland,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Chauvet,Ernest,,
48033,Sturgeon River--Parkland,Sturgeon River--Parkland,New Democratic Party,Nouveau Parti démocratique,Desforges,Guy,,
48033,Sturgeon River--Parkland,Sturgeon River--Parkland,Liberal Party of Canada,Parti libéral du Canada,Dueck,Travis,,
48033,Sturgeon River--Parkland,Sturgeon River--Parkland,Green Party of Canada,Le Parti Vert du Canada,Greene,Brendon,,
48034,Yellowhead,Yellowhead,Conservative Party of Canada,Parti conservateur du Canada,Eglinski,Jim,,
48034,Yellowhead,Yellowhead,New Democratic Party,Nouveau Parti démocratique,Kuzminski,Ken,,
48034,Yellowhead,Yellowhead,Libertarian Party of Canada,Parti Libertarien du Canada,Lystang,Cory,,
48034,Yellowhead,Yellowhead,Liberal Party of Canada,Parti libéral du Canada,Maguhn,Ryan,,
48034,Yellowhead,Yellowhead,Green Party of Canada,Le Parti Vert du Canada,Wolf Lange,Sandra,,
59001,Abbotsford,Abbotsford,Conservative Party of Canada,Parti conservateur du Canada,Fast,Ed,,
59001,Abbotsford,Abbotsford,Green Party of Canada,Le Parti Vert du Canada,Fowler,Stephen,,
59001,Abbotsford,Abbotsford,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,MacKay,David,,
59001,Abbotsford,Abbotsford,New Democratic Party,Nouveau Parti démocratique,Martel,Jen,,
59001,Abbotsford,Abbotsford,Liberal Party of Canada,Parti libéral du Canada,Njenga,Peter,,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,New Democratic Party,Nouveau Parti démocratique,Baird Ellan,Carol,,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,Liberal Party of Canada,Parti libéral du Canada,Beech,Terry,,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,Independent,Indépendant,Chang,Helen Hee Soon,,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,Communist Party of Canada,Parti communiste du Canada,Jantzen,Brent,,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,Conservative Party of Canada,Parti conservateur du Canada,Little,Mike,,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,Green Party of Canada,Le Parti Vert du Canada,Quarmby,Lynne,,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Sproule,Brian,,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,Libertarian Party of Canada,Parti Libertarien du Canada,Tylor,Chris,,
59003,Burnaby South,Burnaby-Sud,Libertarian Party of Canada,Parti Libertarien du Canada,Jaluague,Liz,,
59003,Burnaby South,Burnaby-Sud,Liberal Party of Canada,Parti libéral du Canada,Pankratz,Adam,,
59003,Burnaby South,Burnaby-Sud,Conservative Party of Canada,Parti conservateur du Canada,Seear,Grace,,
59003,Burnaby South,Burnaby-Sud,New Democratic Party,Nouveau Parti démocratique,Stewart,Kennedy,,
59003,Burnaby South,Burnaby-Sud,Green Party of Canada,Le Parti Vert du Canada,Tessari,Wyatt,,
59004,Cariboo--Prince George,Cariboo--Prince George,Liberal Party of Canada,Parti libéral du Canada,Calogheros,Tracy,,
59004,Cariboo--Prince George,Cariboo--Prince George,No Affiliation,Aucune appartenance,Campbell,Gordon,,
59004,Cariboo--Prince George,Cariboo--Prince George,Independent,Indépendant,Clare,Sheldon,,
59004,Cariboo--Prince George,Cariboo--Prince George,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,De Kroon,Adam,,
59004,Cariboo--Prince George,Cariboo--Prince George,New Democratic Party,Nouveau Parti démocratique,Derrick,Trent,,
59004,Cariboo--Prince George,Cariboo--Prince George,Conservative Party of Canada,Parti conservateur du Canada,Doherty,Todd,,
59004,Cariboo--Prince George,Cariboo--Prince George,Green Party of Canada,Le Parti Vert du Canada,Jaques,Richard Edward,,
59005,Central Okanagan--Similkameen--Nicola,Central Okanagan--Similkameen--Nicola,Conservative Party of Canada,Parti conservateur du Canada,Albas,Dan,,
59005,Central Okanagan--Similkameen--Nicola,Central Okanagan--Similkameen--Nicola,Green Party of Canada,Le Parti Vert du Canada,Mellalieu,Robert,,
59005,Central Okanagan--Similkameen--Nicola,Central Okanagan--Similkameen--Nicola,Liberal Party of Canada,Parti libéral du Canada,Scott,Karley,,
59005,Central Okanagan--Similkameen--Nicola,Central Okanagan--Similkameen--Nicola,New Democratic Party,Nouveau Parti démocratique,Wood,Angelique,,
59006,Chilliwack--Hope,Chilliwack--Hope,Green Party of Canada,Le Parti Vert du Canada,Cheney,Thomas,,
59006,Chilliwack--Hope,Chilliwack--Hope,Liberal Party of Canada,Parti libéral du Canada,De Jaeger,Louis,,
59006,Chilliwack--Hope,Chilliwack--Hope,Libertarian Party of Canada,Parti Libertarien du Canada,Johnson,Alexander,,
59006,Chilliwack--Hope,Chilliwack--Hope,New Democratic Party,Nouveau Parti démocratique,MacPherson,Seonaigh,,
59006,Chilliwack--Hope,Chilliwack--Hope,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,O'Donnell,Dorothy-Jean,,
59006,Chilliwack--Hope,Chilliwack--Hope,Conservative Party of Canada,Parti conservateur du Canada,Strahl,Mark,,
59007,Cloverdale--Langley City,Cloverdale--Langley City,Liberal Party of Canada,Parti libéral du Canada,Aldag,John,,
59007,Cloverdale--Langley City,Cloverdale--Langley City,Green Party of Canada,Le Parti Vert du Canada,Anderson,Scott,,
59007,Cloverdale--Langley City,Cloverdale--Langley City,Conservative Party of Canada,Parti conservateur du Canada,Drysdale,Dean,,
59007,Cloverdale--Langley City,Cloverdale--Langley City,New Democratic Party,Nouveau Parti démocratique,Smith,Rebecca,,
59008,Coquitlam--Port Coquitlam,Coquitlam--Port Coquitlam,Libertarian Party of Canada,Parti Libertarien du Canada,Dahlby,Lewis Clarke,,
59008,Coquitlam--Port Coquitlam,Coquitlam--Port Coquitlam,Conservative Party of Canada,Parti conservateur du Canada,Horne,Douglas,,
59008,Coquitlam--Port Coquitlam,Coquitlam--Port Coquitlam,Liberal Party of Canada,Parti libéral du Canada,McKinnon,Ron,,
59008,Coquitlam--Port Coquitlam,Coquitlam--Port Coquitlam,Green Party of Canada,Le Parti Vert du Canada,Nickason,Brad,,
59008,Coquitlam--Port Coquitlam,Coquitlam--Port Coquitlam,New Democratic Party,Nouveau Parti démocratique,Norman,Sara,,
59009,Courtenay--Alberni,Courtenay--Alberni,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Biley,Barbara,,
59009,Courtenay--Alberni,Courtenay--Alberni,Conservative Party of Canada,Parti conservateur du Canada,Duncan,John,,
59009,Courtenay--Alberni,Courtenay--Alberni,New Democratic Party,Nouveau Parti démocratique,Johns,Gord,,
59009,Courtenay--Alberni,Courtenay--Alberni,Liberal Party of Canada,Parti libéral du Canada,Powell-Davidson,Carrie,,
59009,Courtenay--Alberni,Courtenay--Alberni,Green Party of Canada,Le Parti Vert du Canada,Sollitt,Glenn,,
59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,Conservative Party of Canada,Parti conservateur du Canada,Barker,Martin,,
59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Haythornthwaite,Alastair,,
59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,Green Party of Canada,Le Parti Vert du Canada,Hunt-Jinnouchi,Fran,,
59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,Liberal Party of Canada,Parti libéral du Canada,Krayenhoff,Luke,,
59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,New Democratic Party,Nouveau Parti démocratique,MacGregor,Alistair,,
59011,Delta,Delta,Green Party of Canada,Le Parti Vert du Canada,Devellano,Anthony Edward,,
59011,Delta,Delta,Conservative Party of Canada,Parti conservateur du Canada,Findlay,Kerry-Lynne,,
59011,Delta,Delta,New Democratic Party,Nouveau Parti démocratique,Leveque,Jeremy,,
59011,Delta,Delta,Liberal Party of Canada,Parti libéral du Canada,Qualtrough,Carla,,
59012,Fleetwood--Port Kells,Fleetwood--Port Kells,New Democratic Party,Nouveau Parti démocratique,Begg,Garry,,
59012,Fleetwood--Port Kells,Fleetwood--Port Kells,Conservative Party of Canada,Parti conservateur du Canada,Grewal,Nina,,
59012,Fleetwood--Port Kells,Fleetwood--Port Kells,Liberal Party of Canada,Parti libéral du Canada,Hardie,Ken,,
59012,Fleetwood--Port Kells,Fleetwood--Port Kells,Green Party of Canada,Le Parti Vert du Canada,Hosein,Richard,,
59013,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,Green Party of Canada,Le Parti Vert du Canada,Greenwood,Matthew,,
59013,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,Conservative Party of Canada,Parti conservateur du Canada,McLeod,Cathy,,
